datestamp,timestamp,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,cnt
01/01/2016 00:00,,6,3.5,81,13,1,1,0,3,786
01/01/2016 01:00,,5.5,3,84,11,1,1,0,3,660
01/01/2016 02:00,,5,2.5,84,10,1,1,0,3,387
01/01/2016 03:00,,5,4.5,81,5,1,1,0,3,294
01/01/2016 04:00,,5,4,76,5.5,1,1,0,3,219
01/01/2016 05:00,,4,3.5,87,5,1,1,0,3,153
01/01/2016 06:00,,3,0,87,10,1,1,0,3,120
01/01/2016 07:00,,3,0,87,12,1,1,0,3,96
01/01/2016 08:00,,3,0,87,12,1,1,0,3,117
01/01/2016 09:00,,4.5,1.5,84,14,1,1,0,3,165
01/01/2016 10:00,,5.5,2.5,76,17,1,1,0,3,358
01/01/2016 11:00,,6.5,3.5,81,16,1,1,0,3,595
01/01/2016 12:00,,8,5,76,19,1,1,0,3,745
01/01/2016 13:00,,8,5,76,18,1,1,0,3,949
01/01/2016 14:00,,8,5,79,20,3,1,0,3,925
01/01/2016 15:00,,8,4.5,84.5,23,7,1,0,3,606
01/01/2016 16:00,,8,4.5,87,23,7,1,0,3,514
01/01/2016 17:00,,8,4.5,87,23,3,1,0,3,452
01/01/2016 18:00,,8,4.5,87,22,3,1,0,3,431
01/01/2016 19:00,,8.5,5,84.5,26,2,1,0,3,337
01/01/2016 20:00,,9,6,76,26,2,1,0,3,295
01/01/2016 21:00,,9,5.5,79,27,7,1,0,3,249
01/01/2016 22:00,,9,6,82,24,7,1,0,3,209
01/01/2016 23:00,,8.5,5.5,87,20,7,1,0,3,135
02/01/2016 00:00,,9,6,87,24,7,0,1,3,102
02/01/2016 01:00,,9,6,87,20,7,0,1,3,61
02/01/2016 02:00,,9,6,90.5,18.5,7,0,1,3,50
02/01/2016 03:00,,10,7.5,88,19.5,3,0,1,3,46
02/01/2016 04:00,,10,7.5,88,19.5,3,0,1,3,43
02/01/2016 05:00,,10,7.5,88,19.5,4,0,1,3,42
02/01/2016 06:00,,10,7.5,88,19.5,7,0,1,3,43
02/01/2016 07:00,,10,7,88,23,7,0,1,3,88
02/01/2016 08:00,,10.5,9,85,20,3,0,1,3,171
02/01/2016 09:00,,11,11,82,21.5,3,0,1,3,364
02/01/2016 10:00,,11,11,82,21,3,0,1,3,534
02/01/2016 11:00,,11,11,82,25,3,0,1,3,657
02/01/2016 12:00,,11,11,82,25,3,0,1,3,810
02/01/2016 13:00,,11,11,88,25,3,0,1,3,721
02/01/2016 14:00,,10,7,94,22,7,0,1,3,523
02/01/2016 15:00,,11,11,88,17,7,0,1,3,483
02/01/2016 16:00,,11.5,11.5,91,13,7,0,1,3,399
02/01/2016 17:00,,11,11,91,16,7,0,1,3,383
02/01/2016 18:00,,11,11,88,21.5,7,0,1,3,324
02/01/2016 19:00,,11,11,88,26,7,0,1,3,319
02/01/2016 20:00,,11,11,88,28,3,0,1,3,270
02/01/2016 21:00,,11,11,88,27,7,0,1,3,240
02/01/2016 22:00,,11,11,82,24,3,0,1,3,252
02/01/2016 23:00,,11,11,85,23,3,0,1,3,270
03/01/2016 00:00,,10.5,9,91,23,7,0,1,3,153
03/01/2016 01:00,,9.5,6,87.5,28.5,7,0,1,3,114
03/01/2016 02:00,,9,5,84.5,28,7,0,1,3,83
03/01/2016 03:00,,8.5,4.5,76,26,4,0,1,3,65
03/01/2016 04:00,,8,5,71,17,2,0,1,3,48
03/01/2016 05:00,,7.5,5.5,71,12,1,0,1,3,36
03/01/2016 06:00,,7,5.5,71,9,1,0,1,3,48
03/01/2016 07:00,,7,5,73.5,9,2,0,1,3,93
03/01/2016 08:00,,8,5,79,15,1,0,1,3,171
03/01/2016 09:00,,9,6,84.5,19,7,0,1,3,273
03/01/2016 10:00,,10,7,82,23,7,0,1,3,410
03/01/2016 11:00,,9,6,87,26,7,0,1,3,348
03/01/2016 12:00,,9,5.5,87,27,7,0,1,3,241
03/01/2016 13:00,,9,6,87,26,7,0,1,3,173
03/01/2016 14:00,,9.5,6.5,84.5,24,7,0,1,3,185
03/01/2016 15:00,,10,8,85,14,7,0,1,3,316
03/01/2016 16:00,,9.5,8,84.5,10,7,0,1,3,357
03/01/2016 17:00,,9,8,87,6.5,3,0,1,3,344
03/01/2016 18:00,,9,8,87,7,2,0,1,3,375
03/01/2016 19:00,,8.5,7.5,90,6.5,1,0,1,3,262
03/01/2016 20:00,,8,6.5,87,8,1,0,1,3,237
03/01/2016 21:00,,7,6,93,7,1,0,1,3,228
03/01/2016 22:00,,8,6.5,87,8,1,0,1,3,169
03/01/2016 23:00,,8,6.5,87,9,1,0,1,3,140
04/01/2016 00:00,,8,6,87,10,1,0,0,3,81
04/01/2016 01:00,,8,6,84.5,13,1,0,0,3,59
04/01/2016 02:00,,8,6,82,11,1,0,0,3,34
04/01/2016 03:00,,8,6,82,12,2,0,0,3,25
04/01/2016 04:00,,8,6,82,10,2,0,0,3,37
04/01/2016 05:00,,8,6,84.5,11,2,0,0,3,102
04/01/2016 06:00,,8,6,87,11,1,0,0,3,454
04/01/2016 07:00,,8,6,84.5,12,1,0,0,3,1570
04/01/2016 08:00,,8.5,6.5,82,14,2,0,0,3,3236
04/01/2016 09:00,,9,7,84.5,14,2,0,0,3,1347
04/01/2016 10:00,,10,8,82,16,2,0,0,3,621
04/01/2016 11:00,,10.5,9.5,77,17,2,0,0,3,640
04/01/2016 12:00,,11,11,74.5,17,7,0,0,3,764
04/01/2016 13:00,,10,8,82,13,7,0,0,3,821
04/01/2016 14:00,,10,9,79,8,2,0,0,3,764
04/01/2016 15:00,,9.5,8,84.5,10,2,0,0,3,865
04/01/2016 16:00,,9,7.5,87,10,2,0,0,3,1193
04/01/2016 17:00,,9,7,84.5,11,2,0,0,3,2819
04/01/2016 18:00,,8.5,6.5,82,11,1,0,0,3,2439
04/01/2016 19:00,,9,7,76,12,1,0,0,3,1184
04/01/2016 20:00,,9,6.5,82,15,3,0,0,3,614
04/01/2016 21:00,,8,5.5,87,14,1,0,0,3,397
04/01/2016 22:00,,9,7,82,15,3,0,0,3,293
04/01/2016 23:00,,9,7,82,13,2,0,0,3,174
05/01/2016 00:00,,9,6.5,87,16,7,0,0,3,93
05/01/2016 01:00,,9,6.5,87,14,7,0,0,3,53
05/01/2016 02:00,,9,6.5,84.5,15,7,0,0,3,47
05/01/2016 03:00,,9,8,84.5,9,2,0,0,3,23
05/01/2016 04:00,,9,7.5,87,10,2,0,0,3,37
05/01/2016 05:00,,9,8,84.5,8,2,0,0,3,86
05/01/2016 06:00,,8.5,7.5,87,6.5,2,0,0,3,501
05/01/2016 07:00,,8.5,7.5,84.5,8,2,0,0,3,1803
05/01/2016 08:00,,8,7,90,7,2,0,0,3,3725
05/01/2016 09:00,,8.5,7.5,87,6.5,2,0,0,3,1719
05/01/2016 10:00,,10,10,82,5,2,0,0,3,700
05/01/2016 11:00,,10,9,82,9,2,0,0,3,645
05/01/2016 12:00,,10.5,10,79.5,11,2,0,0,3,828
05/01/2016 13:00,,10.5,9.5,79.5,10,2,0,0,3,896
05/01/2016 14:00,,10,9.5,82,7.5,2,0,0,3,820
05/01/2016 15:00,,10,9.5,82,5.5,2,0,0,3,846
05/01/2016 16:00,,9.5,8.5,84.5,6.5,2,0,0,3,1315
05/01/2016 17:00,,9,8,87,7,3,0,0,3,2956
05/01/2016 18:00,,9.5,9,84.5,6,7,0,0,3,2561
05/01/2016 19:00,,9,8,87,8,2,0,0,3,1367
05/01/2016 20:00,,8.5,7.5,90,8,3,0,0,3,705
05/01/2016 21:00,,8,7,90,7,4,0,0,3,488
05/01/2016 22:00,,7.5,6.5,90,6.5,3,0,0,3,383
05/01/2016 23:00,,6,5,93,5.5,2,0,0,3,208
06/01/2016 00:00,,6,5.5,93,3,4,0,0,3,99
06/01/2016 01:00,,7,6,87,7,4,0,0,3,90
06/01/2016 02:00,,6.5,5,90,7.5,1,0,0,3,36
06/01/2016 03:00,,6.5,6,93,5,7,0,0,3,29
06/01/2016 04:00,,6.5,5.5,96.5,5.5,26,0,0,3,17
06/01/2016 05:00,,6,5,100,5.5,26,0,0,3,85
06/01/2016 06:00,,7,7,93,4,7,0,0,3,499
06/01/2016 07:00,,7,6.5,93,5,3,0,0,3,1769
06/01/2016 08:00,,7,6.5,93,3,3,0,0,3,3796
06/01/2016 09:00,,7,5.5,93,9,3,0,0,3,1849
06/01/2016 10:00,,7,5,93,10,3,0,0,3,696
06/01/2016 11:00,,7,5.5,93,8.5,3,0,0,3,568
06/01/2016 12:00,,8,7,87,6.5,4,0,0,3,773
06/01/2016 13:00,,8,7,87,6.5,3,0,0,3,867
06/01/2016 14:00,,8,7,87,6,3,0,0,3,809
06/01/2016 15:00,,8,7.5,87,5,3,0,0,3,782
06/01/2016 16:00,,8,7,84.5,6.5,3,0,0,3,1204
06/01/2016 17:00,,8,7,82,6,3,0,0,3,2853
06/01/2016 18:00,,8,7,82,6.5,3,0,0,3,2686
06/01/2016 19:00,,7,6,90,7,2,0,0,3,1505
06/01/2016 20:00,,7,6,87,6.5,2,0,0,3,834
06/01/2016 21:00,,6,4.5,93,6.5,2,0,0,3,548
06/01/2016 22:00,,6,4,93,9,2,0,0,3,393
06/01/2016 23:00,,6.5,4,90,12,2,0,0,3,251
07/01/2016 00:00,,7,4,87,15,2,0,0,3,111
07/01/2016 01:00,,8,5.5,87,14,3,0,0,3,79
07/01/2016 02:00,,9,6,82,17,7,0,0,3,33
07/01/2016 03:00,,9,6,82,19.5,7,0,0,3,35
07/01/2016 04:00,,9,5.5,76,24,7,0,0,3,33
07/01/2016 05:00,,8,5,87,22,7,0,0,3,43
07/01/2016 06:00,,8,4.5,87,20.5,7,0,0,3,232
07/01/2016 07:00,,8.5,6,90,15,7,0,0,3,836
07/01/2016 08:00,,9,7.5,87,10.5,7,0,0,3,2529
07/01/2016 09:00,,10,8.5,91,9,7,0,0,3,1445
07/01/2016 10:00,,11,11,88,19.5,7,0,0,3,490
07/01/2016 11:00,,10,6.5,88,28.5,10,0,0,3,228
07/01/2016 12:00,,8,3,82,44,3,0,0,3,415
07/01/2016 13:00,,8.5,3.5,69,47,3,0,0,3,655
07/01/2016 14:00,,8.5,3.5,62,43,2,0,0,3,685
07/01/2016 15:00,,8,3.5,62,37,2,0,0,3,838
07/01/2016 16:00,,8,4,59.5,29.5,2,0,0,3,1186
07/01/2016 17:00,,7.5,3.5,59,29.5,2,0,0,3,2668
07/01/2016 18:00,,7,3,61,28,2,0,0,3,2467
07/01/2016 19:00,,7,3,61,24,1,0,0,3,1280
07/01/2016 20:00,,6,2,66,25,1,0,0,3,713
07/01/2016 21:00,,6,2,66,26,1,0,0,3,507
07/01/2016 22:00,,5,2,70,16,1,0,0,3,363
07/01/2016 23:00,,5,1.5,76,18,1,0,0,3,212
08/01/2016 00:00,,5,1.5,76,18,1,0,0,3,120
08/01/2016 01:00,,5,2,76,15,1,0,0,3,82
08/01/2016 02:00,,5,2,76,12,1,0,0,3,67
08/01/2016 03:00,,4,2,81,9,1,0,0,3,37
08/01/2016 04:00,,5,2.5,76,10,1,0,0,3,31
08/01/2016 05:00,,5,3,76,8,1,0,0,3,88
08/01/2016 06:00,,5,4.5,78.5,5,1,0,0,3,479
08/01/2016 07:00,,6,4,78.5,10,2,0,0,3,1702
08/01/2016 08:00,,7,5,76,12,2,0,0,3,3545
08/01/2016 09:00,,7.5,4.5,78.5,15,2,0,0,3,1759
08/01/2016 10:00,,8.5,6,73.5,14,3,0,0,3,690
08/01/2016 11:00,,9.5,6.5,69,18.5,2,0,0,3,571
08/01/2016 12:00,,10,7,67,21,2,0,0,3,822
08/01/2016 13:00,,10,8,67,17,7,0,0,3,873
08/01/2016 14:00,,9.5,7,71.5,17,7,0,0,3,790
08/01/2016 15:00,,9,7,79,12,2,0,0,3,891
08/01/2016 16:00,,8,6,82,11,2,0,0,3,1384
08/01/2016 17:00,,8,6,84.5,12,7,0,0,3,2060
08/01/2016 18:00,,8,6,87,11,7,0,0,3,1895
08/01/2016 19:00,,8,6,84.5,11,3,0,0,3,1041
08/01/2016 20:00,,8,6,82,10,2,0,0,3,647
08/01/2016 21:00,,8,6,84.5,11,2,0,0,3,411
08/01/2016 22:00,,8.5,7,84.5,9,1,0,0,3,389
08/01/2016 23:00,,9,6.5,82,15,2,0,0,3,388
09/01/2016 00:00,,9,6.5,79,16,7,0,1,3,292
09/01/2016 01:00,,9,6.5,84.5,16,7,0,1,3,201
09/01/2016 02:00,,9,7,87,13,7,0,1,3,120
